"Product is missing.","Товар отсутствует."
"products for the","товаров на"
"product_nominative_case","товар"
"product_accusative_case","товара"
"product_genitive_case","товаров"
"for the","на"
"You have no items in your shopping cart.","Ваша корзина пока пуста"
"Total","Итого"
"Remove This Item","Удалить"
"Something went wrong.","Что-то пошло не так."
"Not passed id","Не передан id"
"Checkout","Оформить заказ"
"View Shopping Cart","Или в корзину"
"Goods worth","Товаров на сумму"
"Delivery","Доставка"
"Discount","Скидка"
"Promo code","Промо-код"
"Product %s is already added to the shopping cart, the quantity available in stock %s PCs.","Продукт %s уже добавлен в корзину, доступное количество на складе %s шт."
"Item %s is not available","Продукта %s нет в наличии"